areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E07000041,Exeter,ltla,2022-01-02,,21944,156
E07000041,Exeter,ltla,2022-01-02,,21944,156
E07000041,Exeter,ltla,2022-01-02,,21944,156
E07000041,Exeter,ltla,2022-01-01,151,21788,228
E07000041,Exeter,ltla,2022-01-01,151,21788,228
E07000041,Exeter,ltla,2022-01-01,151,21788,228
E07000041,Exeter,ltla,2021-12-31,151,21560,296
E07000041,Exeter,ltla,2021-12-31,151,21560,296
E07000041,Exeter,ltla,2021-12-31,151,21560,296
E07000041,Exeter,ltla,2021-12-30,151,21264,165
E07000041,Exeter,ltla,2021-12-30,151,21264,165
E07000041,Exeter,ltla,2021-12-30,151,21264,165
E07000041,Exeter,ltla,2021-12-29,150,21099,211
E07000041,Exeter,ltla,2021-12-29,150,21099,211
E07000041,Exeter,ltla,2021-12-29,150,21099,211
E07000041,Exeter,ltla,2021-12-28,150,20888,239
E07000041,Exeter,ltla,2021-12-28,150,20888,239
E07000041,Exeter,ltla,2021-12-28,150,20888,239
E07000041,Exeter,ltla,2021-12-27,150,20649,55
E07000041,Exeter,ltla,2021-12-27,150,20649,55
E07000041,Exeter,ltla,2021-12-27,150,20649,55
E07000041,Exeter,ltla,2021-12-26,149,20594,150
E07000041,Exeter,ltla,2021-12-26,149,20594,150
E07000041,Exeter,ltla,2021-12-26,149,20594,150
E07000041,Exeter,ltla,2021-12-25,149,20444,155
E07000041,Exeter,ltla,2021-12-25,149,20444,155
E07000041,Exeter,ltla,2021-12-25,149,20444,155
E07000041,Exeter,ltla,2021-12-24,148,20289,197
E07000041,Exeter,ltla,2021-12-24,148,20289,197
E07000041,Exeter,ltla,2021-12-24,148,20289,197
E07000041,Exeter,ltla,2021-12-23,146,20092,170
E07000041,Exeter,ltla,2021-12-23,146,20092,170
E07000041,Exeter,ltla,2021-12-23,146,20092,170
E07000041,Exeter,ltla,2021-12-22,146,19922,103
E07000041,Exeter,ltla,2021-12-22,146,19922,103
E07000041,Exeter,ltla,2021-12-22,146,19922,103
E07000041,Exeter,ltla,2021-12-21,145,19819,125
E07000041,Exeter,ltla,2021-12-21,145,19819,125
E07000041,Exeter,ltla,2021-12-21,145,19819,125
E07000041,Exeter,ltla,2021-12-20,145,19694,119
E07000041,Exeter,ltla,2021-12-20,145,19694,119
E07000041,Exeter,ltla,2021-12-20,145,19694,119
E07000041,Exeter,ltla,2021-12-19,145,19575,103
E07000041,Exeter,ltla,2021-12-19,,19575,103
E07000041,Exeter,ltla,2021-12-19,145,19575,103
E07000041,Exeter,ltla,2021-12-19,,19575,103
E07000041,Exeter,ltla,2021-12-19,,19575,103
E07000041,Exeter,ltla,2021-12-19,145,19575,103
E07000041,Exeter,ltla,2021-12-18,145,19472,111
E07000041,Exeter,ltla,2021-12-18,143,,111
E07000041,Exeter,ltla,2021-12-18,143,,111
E07000041,Exeter,ltla,2021-12-18,143,,111
E07000041,Exeter,ltla,2021-12-18,145,19472,111
E07000041,Exeter,ltla,2021-12-18,145,19472,111
E07000041,Exeter,ltla,2021-12-17,143,,172
E07000041,Exeter,ltla,2021-12-17,142,19361,172
E07000041,Exeter,ltla,2021-12-17,,19361,172
E07000041,Exeter,ltla,2021-12-17,143,,172
E07000041,Exeter,ltla,2021-12-17,143,,172
E07000041,Exeter,ltla,2021-12-17,142,19361,172
E07000041,Exeter,ltla,2021-12-17,142,19361,172
E07000041,Exeter,ltla,2021-12-16,142,,96
E07000041,Exeter,ltla,2021-12-16,,19189,96
E07000041,Exeter,ltla,2021-12-16,141,19189,96
E07000041,Exeter,ltla,2021-12-16,141,19189,96
E07000041,Exeter,ltla,2021-12-16,142,,96
E07000041,Exeter,ltla,2021-12-16,,19189,96
E07000041,Exeter,ltla,2021-12-16,142,,96
E07000041,Exeter,ltla,2021-12-16,,19189,96
E07000041,Exeter,ltla,2021-12-16,,19189,96
E07000041,Exeter,ltla,2021-12-16,142,,96
E07000041,Exeter,ltla,2021-12-16,141,19189,96
E07000041,Exeter,ltla,2021-12-15,141,19093,114
E07000041,Exeter,ltla,2021-12-15,141,19093,114
E07000041,Exeter,ltla,2021-12-15,142,,114
E07000041,Exeter,ltla,2021-12-15,142,,114
E07000041,Exeter,ltla,2021-12-15,142,,114
E07000041,Exeter,ltla,2021-12-15,142,,114
